brand_name,brand_freq,snowdrop_name,address_norm,country,city,website,website_match,target,calculated_weights,split
Dell,18,Dell Official,7450 First St,USA,Chicago,www.dell.net,0.939,not_verified,1.121,TRAIN
Oracle,21,Quality Oracle,5363 Second Ave,Germany,Cologne,www.oracle.com,0.93,verified,1.041,TRAIN
Sony,19,Sony Outlet,41 Hill Rd,Germany,Stuttgart,www.sony.co.uk,0.855,verified,1.321,TRAIN
Tech Books,4,Tech Books Online,1527 Market St,USA,Houston,www.techbooks.de,0.831,verified,1.627,TRAIN
Google,15,Google Official,,UK,Liverpool,www.google.com,0.927,verified,1.13,VALIDATE
Sony,19,Sony Market,5870 Hill Rd,UK,Manchester,www.sony.co.uk,0.92,verified,1.167,TRAIN
Pepsi,34,The Pepsi,1038 Hill Rd,Australia,Perth,www.pepsi.de,0.836,verified,1.021,TRAIN
Microsoft,18,Microsoft,,France,Marseille,www.microsoft.net,0.941,verified,1.698,TRAIN
Smart Beauty,6,Smart Beauty Shop,8757 First St,Australia,Melbourne,www.smartbeauty.net,0.891,verified,1.276,TRAIN
Digital Travel,12,Digital Travel Market,3569 First St,Canada,Edmonton,,0.0,not_verified,1.432,TRAIN
Nike,31,Nike Online,3471 First St,Australia,Gold Coast,www.nike.org,0.934,verified,1.026,TEST
Mercedes,17,Mercedes Market,4400 Park Rd,Canada,Toronto,www.mercedes.co.uk,0.967,not_verified,1.317,TRAIN
HP,15,HP Market,4647 Park Rd,France,Nice,www.hp.fr,0.834,verified,1.115,TRAIN
Starbucks,20,Starbucks Outlet,8968 Second Ave,UK,London,www.starbucks.de,0.804,verified,1.346,TRAIN
Smart Travel,3,Smart Travel Direct,2140 Second Ave,USA,New York,www.smarttravel.org,0.956,verified,1.581,TRAIN
UniqueShop035,1,UniqueShop035 Shop,7952 Hill Rd,France,Nice,www.uniqueshop035.org,0.922,not_verified,2.755,TRAIN
Nike,31,Nike Direct,5632 Market St,Germany,Frankfurt,www.nike.net,0.94,verified,1.131,TRAIN
DigitalWorks,5,DigitalWorks Direct,794 Main St,France,Paris,www.digitalworks.com,0.968,verified,1.977,TRAIN
UltraLtd,7,Original UltraLtd,1632 Market St,Canada,Vancouver,,0.0,not_verified,1.663,TRAIN
Nike,31,Nike Direct,7530 Main St,Australia,Gold Coast,www.nike.de,0.961,verified,0.911,TRAIN
Oracle,21,Oracle Online,2036 Hill Rd,Australia,Brisbane,,0.0,not_verified,0.85,VALIDATE
Oracle,21,Oracle,2589 First St,UK,Glasgow,www.oracle.fr,0.992,verified,1.188,TRAIN
Ford,24,Ford Direct,7480 Main St,Australia,Adelaide,www.ford.net,0.907,verified,1.089,TRAIN
H&M,13,H&M Store,7010 Oak Ave,UK,Manchester,www.h&m.net,0.898,verified,1.324,TEST
UniqueShop064,1,UniqueShop064,2162 Market St,UK,Manchester,www.uniqueshop064.fr,0.88,verified,2.581,TRAIN
Pro Health,8,Pro Health Outlet,,France,Marseille,,0.0,not_verified,1.538,TRAIN
Ultra Home,8,Ultra Home Market,4946 Oak Ave,UK,London,www.ultrahome.com,0.831,verified,1.648,TRAIN
McDonald's,18,McDonald's Store,4490 Main St,UK,Bristol,www.mcdonalds.co.uk,0.915,not_verified,1.018,TRAIN
Oracle,21,Oracle,5906 Park Rd,France,Paris,www.oracle.co.uk,0.855,not_verified,0.834,TRAIN
Google,15,Google Market,1351 Park Rd,France,Toulouse,www.google.fr,0.984,verified,1.224,TRAIN
Samsung,27,Samsung Outlet,2712 Main St,Australia,Adelaide,www.samsung.de,0.917,verified,0.976,TRAIN
H&M,13,H&M Shop,6494 Market St,USA,Chicago,www.h&m.com,0.919,verified,1.305,TRAIN
MaxCorp,1,MaxCorp,5006 Market St,Australia,Sydney,www.maxcorp.com,0.871,verified,2.599,TEST
Nike,31,Nike,3837 First St,Canada,Toronto,www.nike.org,0.81,not_verified,0.953,TRAIN
Mercedes,17,Mercedes Official,1495 Market St,UK,Bristol,www.mercedes.com,0.806,verified,1.354,TRAIN
Apple,26,Apple Online,,France,Toulouse,www.apple.fr,0.885,verified,1.128,TRAIN
H&M,13,H&M Online,1560 Main St,Canada,Montreal,www.h&m.de,0.817,not_verified,1.47,TRAIN
Coca-Cola,30,Coca-Cola,3497 First St,UK,Bristol,www.coca-cola.com,0.921,verified,1.12,TRAIN
Digital Beauty,10,Digital Beauty Shop,1277 Oak Ave,Australia,Melbourne,www.digitalbeauty.org,0.976,verified,1.661,TRAIN
Max Travel,5,Max Travel Direct,9727 Oak Ave,USA,Chicago,www.maxtravel.co.uk,0.977,verified,2.284,TRAIN
Digital Beauty,10,Digital Beauty Direct,8511 Market St,France,Paris,www.digitalbeauty.com,0.932,verified,1.331,TEST
Prime Auto,9,Prime Auto Outlet,7292 Main St,UK,Birmingham,www.primeauto.com,0.842,not_verified,1.433,VALIDATE
MaxGroup,1,MaxGroup Shop,133 Market St,Germany,Cologne,www.maxgroup.de,0.973,verified,2.22,TRAIN
UltraSolutions,3,UltraSolutions Market,5630 Hill Rd,Canada,Ottawa,www.ultrasolutions.fr,0.977,verified,2.072,TEST
PrimeHub,4,PrimeHub Market,,Australia,Brisbane,www.primehub.fr,0.839,verified,1.56,TRAIN
Prime Music,6,Prime Music Market,1976 Hill Rd,Australia,Adelaide,www.primemusic.org,0.947,verified,1.611,TRAIN
Digital Travel,12,Digital Travel Official,6920 Market St,UK,Liverpool,www.digitaltravel.com,0.857,verified,1.181,TEST
H&M,13,Quality H&M,2166 First St,France,Marseille,,0.0,not_verified,1.064,TRAIN
Spotify,18,Spotify,1161 Oak Ave,Canada,Calgary,www.spotify.de,0.961,verified,1.131,TRAIN
Google,15,Google,6277 Main St,UK,London,www.google.org,0.999,verified,1.162,TRAIN
Max Music,5,Max-Music,1679 Main St,Canada,Vancouver,www.maxmusic.fr,0.806,verified,1.551,TRAIN
Global Fashion,7,Global Fashion Market,5134 Park Rd,UK,Bristol,www.globalfashion.net,0.979,verified,1.409,TRAIN
Apple,26,Apple Outlet,4903 Oak Ave,Australia,Gold Coast,,0.0,verified,0.953,TRAIN
Adobe,21,Adobe Outlet,6271 Hill Rd,Germany,Hamburg,www.adobe.org,0.925,verified,0.858,TRAIN
Microsoft,18,Microsoft Direct,2182 Market St,Canada,Vancouver,www.microsoft.net,0.995,verified,1.05,VALIDATE
Amazon,13,Amazon,,Australia,Gold Coast,www.amazon.net,0.893,verified,1.459,VALIDATE
Ford,24,The Ford,2341 Main St,Canada,Calgary,www.ford.org,0.969,verified,1.151,TRAIN
Samsung,27,Samsung,,Germany,Cologne,www.samsung.org,0.812,verified,1.184,TRAIN
Netflix,26,Netflix,8692 Second Ave,Canada,Montreal,,0.0,verified,0.839,VALIDATE
Nike,31,Nike Market,139 Second Ave,Germany,Frankfurt,www.nike.de,0.867,verified,0.874,VALIDATE
McDonald's,18,McDonald's Official,2689 First St,USA,Los Angeles,www.mcdonalds.org,0.813,verified,1.516,VALIDATE
Global Auto,6,Global Auto,5754 Market St,Australia,Adelaide,www.globalauto.co.uk,0.995,verified,1.757,TRAIN
Mercedes,17,Authentic Mercedes,,USA,Chicago,www.mercedes.fr,0.963,verified,1.237,TRAIN
Elite Fashion,3,Elite Fashion Store,3491 Market St,UK,Liverpool,,0.0,verified,1.67,TRAIN
PrimeInc,3,PrimeInc Online,2481 First St,UK,Birmingham,www.primeinc.com,0.971,verified,1.623,TRAIN
Global Music,6,Global Music Shop,7249 Hill Rd,Australia,Gold Coast,www.globalmusic.org,0.988,verified,1.197,TEST
Adobe,21,Adobe,3560 Main St,USA,Philadelphia,www.adobe.net,0.817,verified,1.196,TRAIN
Prime Music,6,Original Prime Music,1647 Oak Ave,USA,New York,www.primemusic.net,0.877,not_verified,1.759,TRAIN
Digital Books,15,Digital Books Direct,2018 Second Ave,France,Nantes,www.digitalbooks.org,0.814,verified,1.306,TRAIN
McDonald's,18,Authentic McDonald's,6292 Park Rd,USA,Phoenix,www.mcdonalds.com,0.842,verified,1.061,TRAIN
Global Books,4,Global-Books,7036 Park Rd,France,Toulouse,,0.0,verified,2.17,TRAIN
PrimeLab,2,Premium PrimeLab,2291 Oak Ave,France,Lyon,www.primelab.com,0.846,not_verified,1.911,VALIDATE
Zara,23,Zara,4538 Market St,USA,Phoenix,www.zara.de,0.894,verified,0.966,TRAIN
UniqueShop066,1,Quality UniqueShop066,1381 Oak Ave,Canada,Ottawa,www.uniqueshop066.de,0.854,verified,2.335,TRAIN
UniqueShop028,1,UniqueShop028,9067 Second Ave,France,Toulouse,www.uniqueshop028.de,0.82,verified,2.098,TRAIN
Max Books,3,Max Books Outlet,9831 Market St,Australia,Melbourne,,0.0,not_verified,2.099,TRAIN
Microsoft,18,Microsoft,9955 Park Rd,Canada,Calgary,www.microsoft.com,0.833,verified,1.252,TEST
SuperHub,6,SuperHub Official,440 Hill Rd,UK,Liverpool,www.superhub.net,0.829,verified,1.19,TRAIN
Adobe,21,Adobe Store,4943 Oak Ave,Australia,Brisbane,www.adobe.de,0.995,verified,0.872,TRAIN
Prime Fashion,6,Prime Fashion Online,8483 Second Ave,UK,Glasgow,,0.0,not_verified,1.542,TRAIN
Nike,31,Top Nike,8349 Oak Ave,France,Nice,www.nike.org,0.952,verified,0.99,TRAIN
Zara,23,Zara Market,6419 Park Rd,USA,Houston,www.zara.de,0.994,not_verified,0.829,TRAIN
HP,15,HP,895 Hill Rd,Canada,Ottawa,www.hp.org,0.888,verified,1.28,TRAIN
GlobalLtd,4,GlobalLtd Official,3922 First St,USA,Philadelphia,www.globalltd.org,0.856,not_verified,2.493,TRAIN
Digital Fashion,8,Authentic Digital Fashion,6323 Main St,UK,Liverpool,www.digitalfashion.net,0.96,verified,1.699,TRAIN
Pepsi,34,Pepsi Store,3950 First St,Australia,Melbourne,www.pepsi.fr,0.865,verified,0.89,TEST
Smart Beauty,6,SmartBeauty,9731 Main St,France,Lyon,,0.0,verified,1.328,TRAIN
Starbucks,20,Starbucks,8656 Main St,Germany,Munich,www.starbucks.org,0.86,not_verified,1.145,TEST
Puma,15,Puma Online,5917 Park Rd,UK,Liverpool,,0.0,not_verified,1.267,TRAIN
Tech Home,6,Tech Home Direct,2163 First St,France,Nantes,www.techhome.de,0.847,not_verified,1.336,VALIDATE
EliteCorp,1,EliteCorp,,UK,Bristol,www.elitecorp.net,0.826,not_verified,2.833,VALIDATE
